Date,Holiday,Incident Count
1/1/06,New Years Day,8
1/1/07,New Years Day,18
1/1/08,New Years Day,19
1/1/09,New Years Day,7
1/1/10,New Years Day,8
1/1/11,New Years Day,12
1/1/12,New Years Day,11
1/1/13,New Years Day,11
1/1/14,New Years Day,12
1/1/15,New Years Day,3
1/1/16,New Years Day,7
1/1/17,New Years Day,7
1/1/18,New Years Day,5
4/4/06,Independence Day,3
4/4/07,Independence Day,5
4/4/08,Independence Day,0
4/4/09,Independence Day,7
4/4/10,Independence Day,8
4/4/11,Independence Day,1
4/4/12,Independence Day,5
4/4/13,Independence Day,2
4/4/14,Independence Day,0
4/4/15,Independence Day,2
4/4/16,Independence Day,2
4/4/17,Independence Day,4
4/4/18,Independence Day,1
5/29/06,Memorial Day,11
5/28/07,Memorial Day,6
5/26/08,Memorial Day,14
5/25/09,Memorial Day,8
5/31/10,Memorial Day,10
5/30/11,Memorial Day,13
5/28/12,Memorial Day,8
5/27/13,Memorial Day,6
5/26/14,Memorial Day,9
5/25/15,Memorial Day,6
5/30/16,Memorial Day,2
5/29/17,Memorial Day,1
5/28/18,Memorial Day,10
9/23/06,Thanksgiving ,6
9/22/07,Thanksgiving ,8
9/27/08,Thanksgiving ,10
9/26/09,Thanksgiving ,15
9/25/10,Thanksgiving ,7
9/24/11,Thanksgiving ,10
9/22/12,Thanksgiving ,13
9/28/13,Thanksgiving ,5
9/27/14,Thanksgiving ,9
9/26/15,Thanksgiving ,13
9/24/16,Thanksgiving ,2
9/23/17,Thanksgiving ,1
9/22/18,Thanksgiving ,3
9/24/06,Black Friday,8
9/23/07,Black Friday,6
9/28/08,Black Friday,17
9/27/09,Black Friday,11
9/26/10,Black Friday,9
9/25/11,Black Friday,18
9/23/12,Black Friday,7
9/29/13,Black Friday,3
9/28/14,Black Friday,2
9/27/15,Black Friday,2
9/25/16,Black Friday,3
9/24/17,Black Friday,3
9/23/18,Black Friday,3
12/25/06,Christmas,6
12/25/07,Christmas,6
12/25/08,Christmas,7
12/25/09,Christmas,7
12/25/10,Christmas,4
12/25/11,Christmas,5
12/25/12,Christmas,2
12/25/13,Christmas,5
12/25/14,Christmas,6
12/25/15,Christmas,6
12/25/16,Christmas,3
12/25/17,Christmas,7
12/25/18,Christmas,1
