OCCUR_DATE,Incident Count,,Occur_Date,Incident Count,,New Years,,Memorial Day,,Thanksgiving,,Black Friday,,Christmas ,,,,,,,
09-09-2017,1,,01-01-2006,8,,1-Jan,8,5/29/06,,9/23/06,,9/24/06,,12/25/06,,,,,,,
09-09-2017,1,,01-01-2007,18,,1-Jan,18,5/28/07,,9/22/07,,9/23/07,,12/25/07,,,,,,,
09-09-2017,1,,01-01-2008,19,,1-Jan,19,5/26/08,,9/27/08,,9/28/08,,12/25/08,,,,,,,
09-09-2017,1,,01-01-2009,7,,1-Jan,7,5/25/09,,9/26/09,,9/27/09,,12/25/09,,,,,,,
09-09-2017,1,,01-01-2010,8,,1-Jan,8,5/31/10,,9/25/10,,9/26/10,,12/25/10,,,,,,,
09-09-2016,1,,01-01-2011,12,,1-Jan,12,5/30/11,,9/24/11,,9/25/11,,12/25/11,,,,,,,
09-09-2016,1,,01-01-2012,11,,1-Jan,11,5/28/12,,9/22/12,,9/23/12,,12/25/12,,,,,,,
09-09-2016,1,,01-01-2013,11,,1-Jan,11,5/27/13,,9/28/13,,9/29/13,,12/25/13,,,,,,,
09-09-2016,1,,01-01-2014,12,,1-Jan,12,5/26/14,,9/27/14,,9/28/14,,12/25/14,,,,,,,
09-09-2015,1,,01-01-2015,3,,1-Jan,3,5/25/15,,9/26/15,,9/27/15,,12/25/15,,,,,,,
09-09-2015,1,,01-01-2016,7,,1-Jan,7,5/30/16,,9/24/16,,9/25/16,,12/25/16,,,,,,,
09-09-2015,1,,01-01-2017,7,,1-Jan,7,5/29/17,,9/23/17,,9/24/17,,12/25/17,,,,,,,
09-09-2015,1,,01-01-2018,5,,1-Jan,5,5/28/18,,9/22/18,,9/23/18,,12/25/18,,,,,,,
09-09-2014,1,,01-02-2006,4,,,,,,,,,,,,,,,,,
09-09-2013,1,,01-02-2007,4,,,,,,,,,,,,,,,,,
09-09-2013,1,,01-02-2008,2,,,,,,,,,,,,,,,,,
09-09-2013,1,,01-02-2009,3,,,,,,,,,,,,,,,,,
09-09-2013,1,,01-02-2010,2,,,,,,,,,,,,,,,,,
09-09-2012,1,,01-02-2011,4,,,,,,,,,,,,,,,,,
09-09-2012,1,,01-02-2012,3,,,,,,,,,,,,,,,,,
09-09-2012,1,,01-02-2013,2,,,,,,,,,,,,,,,,,
09-09-2012,1,,01-02-2014,4,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-02-2015,6,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-02-2016,3,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-02-2017,7,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-03-2006,4,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-03-2007,7,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-03-2009,5,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-03-2010,2,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-03-2011,1,,,,,,,,,,,,,,,,,
09-09-2011,1,,01-03-2012,2,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-03-2013,10,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-03-2014,10,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-03-2015,2,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-03-2016,3,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-03-2017,3,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-03-2018,4,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-04-2006,4,,,,,,,,,,,,,,,,,
09-09-2010,1,,01-04-2007,3,,,,,,,,,,,,,,,,,
09-09-2009,1,,01-04-2008,4,,,,,,,,,,,,,,,,,
09-09-2009,1,,01-04-2009,3,,,,,,,,,,,,,,,,,
09-09-2009,1,,01-04-2010,1,,,,,,,,,,,,,,,,,
09-09-2009,1,,01-04-2012,1,,,,,,,,,,,,,,,,,
09-09-2009,1,,01-04-2013,4,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-04-2014,2,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-04-2015,1,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-04-2016,1,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-04-2017,2,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-05-2006,4,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-05-2007,5,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-05-2008,9,,,,,,,,,,,,,,,,,
