,INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PERP_SEX,PERP_RACE,VIC_SEX,VIC_RACE,Latitude,Longitude,DATE
19700,9953246,1/1/2006,5:51:00,BRONX,M,WHITE HISPANIC,M,WHITE HISPANIC,40.8359898,-73.91627636,1/1/2006
19701,9953247,1/1/2006,3:30:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.651014,-73.94570652,1/1/2006
19702,9953250,1/1/2006,2:34:00,QUEENS,M,BLACK,M,BLACK,40.7748597,-73.93383168,1/1/2006
19703,9953250,1/1/2006,2:34:00,QUEENS,M,BLACK,M,BLACK,40.7748597,-73.93383168,1/1/2006
19704,9953252,1/1/2006,2:22:00,MANHATTAN,M,BLACK,M,BLACK,40.80769916,-73.94738486,1/1/2006
19705,9953245,1/1/2006,2:00:00,BRONX,M,BLACK,M,BLACK,40.85777051,-73.89460588,1/1/2006
19706,9953248,1/1/2006,19:00:00,QUEENS,M,BLACK,M,BLACK,40.68239829,-73.84007937,1/1/2006
19707,139716503,1/1/2006,12:30:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.67215322,-73.95604993,1/1/2006
19186,9953255,1/2/2006,3:59:00,BROOKLYN,M,BLACK,M,BLACK,40.64725792,-73.95569516,1/2/2006
19187,9953255,1/2/2006,3:59:00,BROOKLYN,M,BLACK,M,BLACK HISPANIC,40.64725792,-73.95569516,1/2/2006
19188,9953257,1/2/2006,10:53:00,STATEN ISLAND,M,BLACK,M,BLACK,40.63776877,-74.07648063,1/2/2006
19189,9953249,1/2/2006,0:49:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.71098872,-73.94294878,1/2/2006
18787,9953259,1/3/2006,1:57:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.67506831,-73.91661897,1/3/2006
18788,9953258,1/3/2006,1:48:00,QUEENS,M,BLACK,M,BLACK,40.68239829,-73.84007937,1/3/2006
18789,10038625,1/3/2006,16:25:00,BROOKLYN,M,BLACK HISPANIC,M,BLACK,40.66849503,-73.90994758,1/3/2006
18790,9953261,1/3/2006,13:54:00,QUEENS,M,WHITE HISPANIC,M,WHITE,40.7837027,-73.84675833,1/3/2006
18654,10038627,1/4/2006,5:11:00,BROOKLYN,M,UNKNOWN,M,BLACK,40.69740047,-73.9513018,1/4/2006
18655,10038624,1/4/2006,3:34:00,QUEENS,M,BLACK,M,BLACK,40.72642184,-73.73584631,1/4/2006
18656,10038629,1/4/2006,23:00:00,QUEENS,M,WHITE HISPANIC,M,ASIAN / PACIFIC ISLANDER,40.76956124,-73.91536345,1/4/2006
18657,10038630,1/4/2006,19:17:00,BRONX,M,BLACK,M,BLACK,40.83222742,-73.90637977,1/4/2006
18628,10038634,1/5/2006,22:02:00,BROOKLYN,M,UNKNOWN,M,BLACK,40.68552055,-73.91309398,1/5/2006
18629,10038633,1/5/2006,19:25:00,BROOKLYN,M,BLACK,M,WHITE HISPANIC,40.68702477,-73.92081554,1/5/2006
18630,10038632,1/5/2006,19:12:00,BRONX,M,WHITE HISPANIC,M,WHITE HISPANIC,40.81479686,-73.90116952,1/5/2006
18631,10038631,1/5/2006,15:06:00,BRONX,M,WHITE HISPANIC,M,WHITE HISPANIC,40.86418169,-73.89716624,1/5/2006
18578,10038637,1/6/2006,5:28:00,BRONX,M,BLACK,M,BLACK,40.83025657,-73.91693762,1/6/2006
18579,10038637,1/6/2006,5:28:00,BRONX,M,BLACK,M,BLACK,40.83025657,-73.91693762,1/6/2006
18580,10038635,1/6/2006,3:30:00,BRONX,M,BLACK,M,BLACK HISPANIC,40.86824696,-73.88868865,1/6/2006
18581,10038638,1/6/2006,21:29:00,QUEENS,M,WHITE,M,WHITE,40.67198684,-73.83776112,1/6/2006
18543,10038640,1/7/2006,5:12:00,QUEENS,U,UNKNOWN,M,WHITE HISPANIC,40.74525274,-73.87006287,1/7/2006
18544,10038645,1/7/2006,19:29:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.64306331,-73.89848713,1/7/2006
18509,10038642,1/8/2006,3:40:00,BROOKLYN,M,BLACK,M,BLACK,40.65957427,-73.92926769,1/8/2006
18510,10038643,1/8/2006,3:36:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.63519469,-73.92861257,1/8/2006
18511,10038644,1/8/2006,17:35:00,QUEENS,U,UNKNOWN,M,BLACK,40.60319062,-73.7500834,1/8/2006
