,INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PERP_SEX,PERP_RACE,VIC_SEX,VIC_RACE,Latitude,Longitude,DATE
18409,87020676,10/1/2012,22:20:00,BRONX,M,BLACK,M,WHITE HISPANIC,40.8734428,-73.9041233,10/1/2012
18410,87020674,10/1/2012,20:36:00,BRONX,M,BLACK,M,BLACK,40.88504563,-73.87891769,10/1/2012
18411,87005768,10/1/2012,0:15:00,MANHATTAN,U,UNKNOWN,M,WHITE HISPANIC,40.72760651,-73.97781979,10/1/2012
17807,87026705,10/2/2012,2:37:00,BRONX,M,BLACK,M,BLACK,40.87430334,-73.86925745,10/2/2012
17808,87026705,10/2/2012,2:37:00,BRONX,M,BLACK,M,BLACK,40.87430334,-73.86925745,10/2/2012
17809,87026705,10/2/2012,2:37:00,BRONX,M,BLACK,M,BLACK,40.87430334,-73.86925745,10/2/2012
17810,87026705,10/2/2012,2:37:00,BRONX,M,BLACK,M,BLACK,40.87430334,-73.86925745,10/2/2012
17811,87023965,10/2/2012,1:07:00,MANHATTAN,U,UNKNOWN,M,BLACK,40.82665215,-73.94305918,10/2/2012
17812,87045003,10/2/2012,0:05:00,QUEENS,F,BLACK,M,BLACK,40.69198273,-73.7647553,10/2/2012
17813,87045003,10/2/2012,0:05:00,QUEENS,M,BLACK,M,BLACK,40.69198273,-73.7647553,10/2/2012
17250,87060868,10/3/2012,23:19:00,BRONX,M,BLACK,M,WHITE HISPANIC,40.87998746,-73.83488495,10/3/2012
17251,87052744,10/3/2012,22:30:00,QUEENS,M,BLACK,F,WHITE HISPANIC,40.75746721,-73.94619006,10/3/2012
17056,87066753,10/4/2012,4:02:00,BRONX,M,WHITE HISPANIC,M,BLACK,40.81567314,-73.88700996,10/4/2012
17057,87084898,10/4/2012,21:54:00,BRONX,M,BLACK,M,BLACK,40.80520857,-73.91364208,10/4/2012
17058,87084899,10/4/2012,19:33:00,BROOKLYN,M,BLACK,M,BLACK,40.68712865,-73.94924321,10/4/2012
17059,87084899,10/4/2012,19:33:00,BROOKLYN,M,BLACK,M,BLACK,40.68712865,-73.94924321,10/4/2012
17060,87070876,10/4/2012,17:35:00,BRONX,M,BLACK,M,BLACK,40.84288399,-73.878633,10/4/2012
17061,87068315,10/4/2012,13:02:00,BRONX,M,BLACK,M,BLACK,40.87986008,-73.86342081,10/4/2012
16933,87107847,10/6/2012,2:25:00,QUEENS,U,UNKNOWN,M,WHITE HISPANIC,40.69536376,-73.84548282,10/6/2012
16934,87107847,10/6/2012,2:25:00,QUEENS,U,UNKNOWN,M,WHITE HISPANIC,40.69536376,-73.84548282,10/6/2012
16935,87107847,10/6/2012,2:25:00,QUEENS,U,UNKNOWN,M,WHITE HISPANIC,40.69536376,-73.84548282,10/6/2012
16936,87107847,10/6/2012,2:25:00,QUEENS,U,UNKNOWN,M,WHITE HISPANIC,40.69536376,-73.84548282,10/6/2012
16937,87120725,10/6/2012,23:30:00,MANHATTAN,U,UNKNOWN,M,WHITE HISPANIC,40.85582384,-73.92978559,10/6/2012
16938,87111076,10/6/2012,21:39:00,MANHATTAN,M,WHITE HISPANIC,M,WHITE HISPANIC,40.71927257,-73.99240767,10/6/2012
16881,87110749,10/7/2012,3:45:00,BRONX,U,UNKNOWN,M,BLACK,40.84512031,-73.92249596,10/7/2012
16882,87110749,10/7/2012,3:45:00,BRONX,U,UNKNOWN,M,WHITE HISPANIC,40.84512031,-73.92249596,10/7/2012
16883,87110750,10/7/2012,2:00:00,BRONX,U,UNKNOWN,M,BLACK HISPANIC,40.85082967,-73.91522028,10/7/2012
16884,87108824,10/7/2012,20:12:00,BROOKLYN,M,BLACK,F,BLACK,40.68813455,-73.94051638,10/7/2012
16885,87108824,10/7/2012,20:12:00,BROOKLYN,M,BLACK,M,BLACK,40.68813455,-73.94051638,10/7/2012
16846,87133447,10/8/2012,19:12:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.68377402,-73.98699613,10/8/2012
16847,87133446,10/8/2012,13:20:00,BRONX,U,UNKNOWN,M,BLACK,40.81269914,-73.92161974,10/8/2012
16771,87147239,10/9/2012,23:03:00,BROOKLYN,M,BLACK,M,BLACK,40.62863539,-73.93948142,10/9/2012
16772,87147240,10/9/2012,22:55:00,BROOKLYN,M,BLACK,M,BLACK,40.6746552,-73.88616734,10/9/2012
16773,87134574,10/9/2012,0:35:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.65217687,-73.94972028,10/9/2012
18360,87167273,10/10/2012,21:22:00,BROOKLYN,M,BLACK,F,BLACK,40.69785273,-73.94387963,10/10/2012
18361,87167273,10/10/2012,21:22:00,BROOKLYN,M,BLACK,F,BLACK,40.69785273,-73.94387963,10/10/2012
18260,87215150,10/12/2012,19:00:00,BRONX,U,UNKNOWN,M,BLACK,40.88003699,-73.89935484,10/12/2012
18261,87205084,10/12/2012,15:44:00,BROOKLYN,M,BLACK,M,BLACK,40.67478507,-73.95503877,10/12/2012
18262,87205084,10/12/2012,15:44:00,BROOKLYN,M,BLACK,M,BLACK,40.67478507,-73.95503877,10/12/2012
18194,87213449,10/13/2012,3:12:00,BRONX,M,BLACK,F,BLACK,40.88358821,-73.8271875,10/13/2012
18195,87213449,10/13/2012,3:12:00,BRONX,M,BLACK,M,BLACK,40.88358821,-73.8271875,10/13/2012
18196,87224097,10/13/2012,3:05:00,BRONX,M,BLACK,M,BLACK,40.86464557,-73.8941539,10/13/2012
18197,87217856,10/13/2012,2:35:00,BRONX,M,BLACK,M,BLACK,40.84360658,-73.90586138,10/13/2012
18198,87224291,10/13/2012,22:30:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.6766785,-73.93176958,10/13/2012
18199,87215149,10/13/2012,1:31:00,BROOKLYN,M,BLACK,M,BLACK,40.66399633,-73.89384871,10/13/2012
18200,87224292,10/13/2012,19:35:00,BRONX,M,BLACK,M,WHITE HISPANIC,40.86858934,-73.8672548,10/13/2012
18201,87224293,10/13/2012,18:32:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.68170251,-73.9246797,10/13/2012
18145,87224290,10/14/2012,2:15:00,BROOKLYN,M,BLACK,M,BLACK,40.6374776,-73.91917368,10/14/2012
18146,87234254,10/14/2012,22:28:00,MANHATTAN,M,BLACK,M,BLACK HISPANIC,40.83805529,-73.94079071,10/14/2012
18147,87234254,10/14/2012,22:28:00,MANHATTAN,M,WHITE HISPANIC,M,BLACK HISPANIC,40.83805529,-73.94079071,10/14/2012
18148,87226783,10/14/2012,20:32:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.70140602,-73.98380813,10/14/2012
18149,87224289,10/14/2012,1:10:00,QUEENS,M,BLACK,M,BLACK,40.70513445,-73.76280452,10/14/2012
18150,87234252,10/14/2012,19:34:00,MANHATTAN,M,BLACK,M,WHITE HISPANIC,40.78884506,-73.94617554,10/14/2012
18151,87234252,10/14/2012,19:34:00,MANHATTAN,M,BLACK,M,WHITE HISPANIC,40.78884506,-73.94617554,10/14/2012
18152,87238291,10/14/2012,18:00:00,BROOKLYN,U,UNKNOWN,M,WHITE HISPANIC,40.6594219,-73.87079232,10/14/2012
18153,87234253,10/14/2012,16:00:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.63970054,-73.95320676,10/14/2012
18154,87234203,10/14/2012,13:34:00,BRONX,U,UNKNOWN,M,BLACK HISPANIC,40.87755443,-73.87293947,10/14/2012
18155,87224294,10/14/2012,13:09:00,BRONX,M,BLACK,M,BLACK,40.81133729,-73.91703348,10/14/2012
18087,87243004,10/15/2012,4:19:00,BROOKLYN,U,UNKNOWN,M,WHITE HISPANIC,40.696557,-73.90576608,10/15/2012
18088,87258113,10/15/2012,23:10:00,BRONX,U,UNKNOWN,M,BLACK HISPANIC,40.88792552,-73.83325943,10/15/2012
18089,87258114,10/15/2012,16:10:00,BRONX,U,UNKNOWN,M,BLACK,40.82350653,-73.86407845,10/15/2012
18090,87241709,10/15/2012,10:52:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.63367672,-73.92011142,10/15/2012
18024,87260557,10/16/2012,3:13:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.60493021,-73.9722893,10/16/2012
18025,87258112,10/16/2012,0:15:00,BRONX,U,UNKNOWN,M,BLACK HISPANIC,40.89797049,-73.85302755,10/16/2012
17975,87293735,10/17/2012,20:38:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.6743107,-73.93338347,10/17/2012
17976,87293736,10/17/2012,1:41:00,QUEENS,M,WHITE HISPANIC,M,BLACK,40.69482594,-73.80251283,10/17/2012
17924,87349108,10/18/2012,21:30:00,STATEN ISLAND,M,BLACK,M,BLACK,40.64005664,-74.07837494,10/18/2012
17872,87339334,10/19/2012,8:35:00,BRONX,U,UNKNOWN,M,WHITE HISPANIC,40.80920952,-73.88174325,10/19/2012
17873,87311900,10/19/2012,2:20:00,QUEENS,U,UNKNOWN,M,BLACK,40.75728577,-73.91044117,10/19/2012
17739,87339332,10/20/2012,4:32:00,BRONX,M,BLACK,M,BLACK,40.85525226,-73.89313861,10/20/2012
17740,87339333,10/20/2012,3:27:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.66239762,-73.96190993,10/20/2012
17741,87340187,10/20/2012,20:34:00,BROOKLYN,M,BLACK,M,WHITE HISPANIC,40.64020905,-73.91221975,10/20/2012
17682,87341592,10/21/2012,4:30:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.65111715,-73.9433135,10/21/2012
17683,87349060,10/21/2012,21:36:00,STATEN ISLAND,U,UNKNOWN,M,BLACK HISPANIC,40.63292733,-74.1551429,10/21/2012
17684,87349061,10/21/2012,18:58:00,BROOKLYN,M,BLACK HISPANIC,M,BLACK,40.69677805,-73.9465564,10/21/2012
17642,87356303,10/22/2012,9:42:00,BRONX,U,UNKNOWN,M,BLACK,40.82123865,-73.90434664,10/22/2012
17643,87368205,10/22/2012,22:25:00,BROOKLYN,M,BLACK,M,BLACK,40.6717457,-73.86814045,10/22/2012
17644,87368206,10/22/2012,21:16:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.66990079,-73.95883073,10/22/2012
17645,87349059,10/22/2012,1:04:00,BROOKLYN,M,BLACK,M,BLACK,40.68639573,-73.94909593,10/22/2012
17592,87393027,10/23/2012,23:58:00,MANHATTAN,U,UNKNOWN,M,BLACK,40.80904637,-73.94640123,10/23/2012
17593,87389175,10/23/2012,23:20:00,STATEN ISLAND,U,UNKNOWN,M,BLACK,40.64191714,-74.08667916,10/23/2012
17594,87388315,10/23/2012,22:56:00,QUEENS,M,BLACK,M,BLACK HISPANIC,40.77241291,-73.93172927,10/23/2012
17547,87408750,10/24/2012,20:27:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.66011877,-73.91460843,10/24/2012
17548,87408752,10/24/2012,18:37:00,BRONX,M,BLACK,M,UNKNOWN,40.85301132,-73.91105692,10/24/2012
17549,87408752,10/24/2012,18:37:00,BRONX,M,BLACK HISPANIC,M,UNKNOWN,40.85301132,-73.91105692,10/24/2012
17550,87408752,10/24/2012,18:37:00,BRONX,M,WHITE HISPANIC,M,UNKNOWN,40.85301132,-73.91105692,10/24/2012
17551,87408751,10/24/2012,18:32:00,BROOKLYN,M,BLACK,M,BLACK,40.67541918,-73.93753907,10/24/2012
17497,87430925,10/25/2012,22:28:00,BRONX,M,WHITE HISPANIC,M,WHITE HISPANIC,40.82789757,-73.89820515,10/25/2012
17498,87430926,10/25/2012,20:50:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.6576467,-73.92808396,10/25/2012
17465,87447312,10/26/2012,21:57:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.65860386,-73.96050285,10/26/2012
17400,87443958,10/27/2012,7:15:00,BROOKLYN,M,BLACK,M,BLACK,40.68044128,-73.98256215,10/27/2012
17401,87443958,10/27/2012,7:15:00,BROOKLYN,M,BLACK,M,WHITE HISPANIC,40.68044128,-73.98256215,10/27/2012
17402,87443958,10/27/2012,7:15:00,BROOKLYN,M,BLACK,M,BLACK,40.68044128,-73.98256215,10/27/2012
17403,87443958,10/27/2012,7:15:00,BROOKLYN,M,BLACK,M,WHITE HISPANIC,40.68044128,-73.98256215,10/27/2012
17404,87447309,10/27/2012,6:15:00,MANHATTAN,U,UNKNOWN,M,BLACK HISPANIC,40.84773441,-73.93307968,10/27/2012
17405,87447310,10/27/2012,3:42:00,BRONX,M,WHITE HISPANIC,M,BLACK,40.84729156,-73.90118992,10/27/2012
17406,87447311,10/27/2012,2:37:00,BRONX,U,UNKNOWN,F,BLACK,40.83877887,-73.86470137,10/27/2012
17407,87447311,10/27/2012,2:37:00,BRONX,U,UNKNOWN,M,WHITE HISPANIC,40.83877887,-73.86470137,10/27/2012
17408,87455081,10/27/2012,19:46:00,BRONX,U,UNKNOWN,M,BLACK,40.83284494,-73.91334242,10/27/2012
17409,87455081,10/27/2012,19:46:00,BRONX,U,UNKNOWN,M,BLACK,40.83284494,-73.91334242,10/27/2012
17410,87455767,10/27/2012,17:30:00,BRONX,M,BLACK,M,WHITE HISPANIC,40.85568876,-73.89624311,10/27/2012
17345,87455079,10/28/2012,5:00:00,BRONX,U,UNKNOWN,M,BLACK,40.90093939,-73.84401376,10/28/2012
17346,87452314,10/28/2012,3:40:00,STATEN ISLAND,U,UNKNOWN,M,BLACK,40.62384889,-74.08197986,10/28/2012
17347,87455080,10/28/2012,2:50:00,BRONX,M,BLACK,M,BLACK,40.80556877,-73.9144977,10/28/2012
17348,87455080,10/28/2012,2:50:00,BRONX,M,BLACK,M,BLACK,40.80556877,-73.9144977,10/28/2012
17300,87491828,10/29/2012,23:30:00,QUEENS,U,UNKNOWN,M,BLACK,40.60675081,-73.75655625,10/29/2012
17301,87463699,10/29/2012,0:19:00,BROOKLYN,U,UNKNOWN,M,WHITE HISPANIC,40.690629,-73.95792727,10/29/2012
17196,87492235,10/30/2012,23:48:00,QUEENS,U,UNKNOWN,M,BLACK,40.60609742,-73.75910482,10/30/2012
17197,87491829,10/30/2012,20:13:00,QUEENS,U,UNKNOWN,M,WHITE HISPANIC,40.70390295,-73.74033569,10/30/2012
17198,87483709,10/30/2012,17:45:00,BRONX,U,UNKNOWN,M,BLACK,40.84962829,-73.88729566,10/30/2012
17199,87482798,10/30/2012,10:31:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.68657764,-73.95081212,10/30/2012
17137,87494807,10/31/2012,16:44:00,BRONX,M,BLACK,M,BLACK,40.83143908,-73.92016307,10/31/2012
17138,87492234,10/31/2012,0:15:00,BROOKLYN,M,BLACK,F,BLACK,40.67567142,-73.9276896,10/31/2012
16713,87515018,11/1/2012,20:50:00,BRONX,U,UNKNOWN,M,BLACK,40.88503146,-73.85693666,11/1/2012
16714,87572003,11/1/2012,19:00:00,STATEN ISLAND,U,UNKNOWN,M,BLACK,40.61973604,-74.08357054,11/1/2012
16715,87515017,11/1/2012,15:43:00,BROOKLYN,M,BLACK,M,WHITE HISPANIC,40.66882624,-73.89894177,11/1/2012
16716,87507964,11/1/2012,14:53:00,BROOKLYN,U,UNKNOWN,M,WHITE HISPANIC,40.68874337,-73.94498708,11/1/2012
16717,87515016,11/1/2012,12:50:00,BRONX,U,UNKNOWN,M,WHITE HISPANIC,40.85574319,-73.88982296,11/1/2012
16191,87526114,11/2/2012,20:35:00,BROOKLYN,U,UNKNOWN,M,WHITE HISPANIC,40.68681517,-73.91936988,11/2/2012
16192,87521841,11/2/2012,17:34:00,BROOKLYN,M,BLACK,F,BLACK,40.65838142,-73.88618429,11/2/2012
16193,87519948,11/2/2012,13:30:00,STATEN ISLAND,M,BLACK,M,BLACK,40.62384889,-74.08197986,11/2/2012
15663,87531795,11/3/2012,22:05:00,MANHATTAN,M,BLACK,M,BLACK,40.81426765,-73.94818529,11/3/2012
15574,87532053,11/4/2012,4:00:00,QUEENS,U,UNKNOWN,M,WHITE,40.70935451,-73.7829633,11/4/2012
15575,87531794,11/4/2012,1:43:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.67163678,-73.96262204,11/4/2012
15576,87533053,11/4/2012,12:41:00,QUEENS,M,WHITE,M,WHITE,40.66071344,-73.84128474,11/4/2012
15577,87534987,11/4/2012,10:25:00,BRONX,M,BLACK,M,BLACK,40.81646566,-73.90780731,11/4/2012
15578,87534987,11/4/2012,10:25:00,BRONX,M,BLACK,F,BLACK,40.81646566,-73.90780731,11/4/2012
15533,87559178,11/5/2012,13:45:00,QUEENS,M,BLACK,M,BLACK,40.59625905,-73.76392226,11/5/2012
15504,87565020,11/6/2012,12:55:00,BRONX,U,UNKNOWN,M,ASIAN / PACIFIC ISLANDER,40.85867382,-73.86820005,11/6/2012
15467,87579179,11/7/2012,8:44:00,BRONX,U,UNKNOWN,M,BLACK,40.81670371,-73.86522675,11/7/2012
15468,87590406,11/7/2012,19:30:00,BROOKLYN,U,UNKNOWN,M,BLACK,40.66572509,-73.88759558,11/7/2012
