,date,Farenheit,clouds_all,weather_description
0,2012-10-01,59.82090909,20,few clouds
1,2012-10-02,63.95208333,20,few clouds
2,2012-10-03,62.83394737,75,broken clouds
3,2012-10-04,65.20355556,100,mist
4,2012-10-05,69.79787234,91,mist
5,2012-10-06,66.83766667,85,mist
6,2012-10-07,65.51888889,20,few clouds
7,2012-10-08,50.95230769,1,sky is clear
8,2012-10-09,47.64878788,100,moderate rain
9,2012-10-10,53.54178571,90,overcast clouds
10,2012-10-11,56.96538462,96,sky is clear
11,2012-10-12,53.75291667,20,few clouds
12,2012-13-10,50.07583333,0,sky is Clear
13,2012-14-10,43.73375,1,sky is clear
14,2012-15-10,57.44166667,75,broken clouds
15,2012-16-10,64.97029412,40,scattered clouds
16,2012-17-10,56.2676,93,light rain
17,2012-18-10,49.16708333,20,few clouds
18,2012-19-10,52.75041667,75,broken clouds
19,2012-20-10,64.2012766,90,overcast clouds
20,2012-21-10,61.24,10,mist
21,2012-22-10,55.7725,30,scattered clouds
22,2012-23-10,56.93375,1,sky is clear
23,2012-24-10,55.782,1,sky is clear
24,2012-25-10,57.50564103,90,overcast clouds
25,2012-26-10,58.18125,90,mist
26,2012-27-10,60.69166667,90,haze
27,2012-28-10,62.25814815,90,overcast clouds
28,2012-29-10,57.775,75,broken clouds
29,2012-30-10,56.99767442,90,overcast clouds
30,2012-31-10,55.98275862,90,light rain
31,2012-11-01,48.58458333,75,light rain
32,2012-11-02,46.95125,90,overcast clouds
33,2012-11-03,48.86291667,75,broken clouds
34,2012-11-04,45.48833333,90,overcast clouds
35,2012-11-05,43.81583333,40,scattered clouds
36,2012-11-06,42.855,0,sky is clear
37,2012-11-07,35.43708333,20,few clouds
38,2012-11-08,35.91971429,20,few clouds
39,2012-11-09,36.78657143,90,heavy snow
40,2012-11-10,43.59541667,75,broken clouds
41,2012-11-11,45.66583333,40,scattered clouds
42,2012-11-12,53.93833333,90,overcast clouds
43,2012-13-11,51.58645161,40,scattered clouds
44,2012-14-11,51.42151515,90,mist
45,2012-15-11,41.00666667,90,overcast clouds
46,2012-16-11,41.74,20,few clouds
47,2012-17-11,42.30541667,96,overcast clouds
48,2012-18-11,40.92333333,20,few clouds
49,2012-19-11,40.58458333,1,sky is clear
50,2012-20-11,41.19583333,75,broken clouds
51,2012-21-11,40.73333333,75,broken clouds
52,2012-22-11,43.19041667,75,broken clouds
53,2012-23-11,42.61333333,20,few clouds
54,2012-24-11,41.06705882,20,few clouds
55,2012-25-11,42.23958333,75,broken clouds
56,2012-26-11,36.885,20,few clouds
57,2012-27-11,39.88583333,75,broken clouds
58,2012-28-11,35.05092593,1,sky is clear
59,2012-29-11,36.28666667,90,light rain
60,2012-30-11,36.66458333,1,sky is clear
61,2012-12-01,37.28814815,1,sky is clear
62,2012-12-02,39.4825,90,overcast clouds
63,2012-12-03,43.15029412,90,haze
64,2012-12-04,50.40571429,90,light rain
65,2012-12-05,50.17210526,75,haze
66,2012-12-06,51.7459375,90,mist
67,2012-12-07,35.28416667,40,scattered clouds
68,2012-12-08,35.88142857,75,broken clouds
69,2012-12-09,48.2156,94,light rain
70,2012-12-10,45.19722222,75,mist
71,2012-12-11,47.82322581,90,mist
72,2012-12-12,47.87346154,90,mist
73,2012-13-12,39.02416667,14,few clouds
74,2012-14-12,37.28458333,100,overcast clouds
75,2012-15-12,36.38375,20,few clouds
76,2012-16-12,37.89208333,75,broken clouds
77,2012-17-12,44.02675,75,broken clouds
78,2012-18-12,41.70384615,90,mist
79,2012-19-12,45.53057692,90,mist
80,2012-20-12,44.17666667,75,broken clouds
81,2012-21-12,37.95,1,sky is clear
82,2012-22-12,48.57195652,90,overcast clouds
83,2012-23-12,37.22625,90,overcast clouds
84,2012-24-12,37.99083333,40,scattered clouds
85,2012-25-12,33.76916667,20,few clouds
86,2012-26-12,35.83119048,90,heavy snow
87,2012-27-12,31.98647059,90,overcast clouds
88,2012-28-12,37.59583333,90,light rain
89,2012-29-12,32.62125,90,overcast clouds
90,2012-30-12,31.39973684,75,broken clouds
91,2012-31-12,31.488,90,heavy snow
92,2013-01-01,31.26208333,20,few clouds
93,2013-01-02,37.76375,90,overcast clouds
94,2013-01-03,27.61791667,75,broken clouds
95,2013-01-04,28.28083333,75,broken clouds
96,2013-01-05,33.4725,40,scattered clouds
97,2013-01-06,35.97333333,1,sky is clear
98,2013-01-07,36.7136,40,scattered clouds
99,2013-01-08,39.555,75,broken clouds
100,2013-01-09,35.3575,1,sky is clear
101,2013-01-10,39.50583333,75,broken clouds
102,2013-01-11,43.32708333,1,sky is clear
103,2013-01-12,38.735,75,broken clouds
104,2013-13-01,43.3785,90,light rain
105,2013-14-01,45.26,90,light intensity drizzle
106,2013-15-01,48.90957447,90,mist
107,2013-16-01,38.52703704,90,overcast clouds
108,2013-17-01,35.23305556,90,overcast clouds
109,2013-18-01,38.51,90,mist
110,2013-19-01,31.09041667,90,overcast clouds
111,2013-20-01,34.33958333,20,few clouds
112,2013-21-01,43.98416667,1,sky is clear
113,2013-22-01,30.13958333,20,few clouds
114,2013-23-01,22.90666667,90,overcast clouds
115,2013-24-01,14.64,20,few clouds
116,2013-25-01,16.10416667,47,scattered clouds
117,2013-26-01,17.57208333,10,sky is Clear
118,2013-27-01,19.7675,0,sky is Clear
119,2013-28-01,24.19666667,20,few clouds
120,2013-29-01,35.9475,63,broken clouds
121,2013-30-01,38.88333333,66,light rain
122,2013-31-01,42.34545455,90,light rain
123,2013-02-01,43.84916667,100,overcast clouds
124,2013-02-02,29.5425,20,few clouds
125,2013-02-03,25.09125,40,scattered clouds
126,2013-02-04,25.50393939,90,overcast clouds
127,2013-02-05,26.58416667,40,scattered clouds
128,2013-02-06,28.52146341,40,scattered clouds
129,2013-02-07,31.98096774,90,heavy snow
130,2013-02-08,28.81833333,40,scattered clouds
131,2013-02-09,32.55574468,1,sky is clear
132,2013-02-10,28.94431818,90,heavy snow
133,2013-02-11,27.34458333,1,sky is Clear
134,2013-02-12,35.84697674,75,broken clouds
135,2013-13-02,40.06346154,90,fog
136,2013-14-02,35.40625,90,overcast clouds
137,2013-15-02,37.03866667,90,overcast clouds
138,2013-16-02,40.3188,75,broken clouds
139,2013-17-02,37.46296296,40,scattered clouds
140,2013-18-02,29.42791667,90,overcast clouds
141,2013-19-02,23.75083333,40,scattered clouds
142,2013-20-02,36.65344828,20,few clouds
143,2013-21-02,34.088,90,overcast clouds
144,2013-22-02,28.43625,75,broken clouds
145,2013-23-02,29.38333333,1,sky is clear
146,2013-24-02,37.93721311,90,heavy snow
147,2013-25-02,38.46111111,90,light intensity drizzle
148,2013-26-02,36.69958333,75,broken clouds
149,2013-27-02,37.73958333,75,broken clouds
150,2013-28-02,40.62588235,90,overcast clouds
151,2013-03-01,43.5625,40,scattered clouds
152,2013-03-02,39.79916667,90,overcast clouds
153,2013-03-03,36.6444,90,overcast clouds
154,2013-03-04,32.67846154,90,light rain
155,2013-03-05,32.89916667,75,broken clouds
156,2013-03-06,36.87416667,30,scattered clouds
157,2013-03-07,39.2452,0,sky is clear
158,2013-03-08,36.66181818,90,light rain
159,2013-03-09,33.16142857,90,mist
160,2013-03-10,41.34541667,99,overcast clouds
161,2013-03-11,39.80916667,20,few clouds
162,2013-03-12,43.89958333,75,broken clouds
163,2013-13-03,49.453125,90,overcast clouds
164,2013-14-03,43.59125,75,broken clouds
165,2013-15-03,35.44125,40,scattered clouds
166,2013-16-03,36.0075,75,broken clouds
167,2013-17-03,36.63925926,85,overcast clouds
168,2013-18-03,32.6336,90,heavy snow
169,2013-19-03,31.74814815,75,broken clouds
170,2013-20-03,35.31657143,90,mist
171,2013-21-03,37.99166667,15,few clouds
172,2013-22-03,35.138,9,sky is clear
173,2013-23-03,33.79875,97,overcast clouds
174,2013-24-03,38.27208333,40,scattered clouds
175,2013-25-03,38.78583333,8,sky is clear
176,2013-26-03,38.32642857,99,overcast clouds
177,2013-27-03,41.00461538,90,light rain
178,2013-28-03,42.96041667,96,overcast clouds
179,2013-29-03,42.86166667,74,broken clouds
180,2013-30-03,45.9475,89,overcast clouds
181,2013-31-03,46.29875,34,scattered clouds
182,2013-04-01,45.23791667,10,sky is clear
183,2013-04-02,48.257,90,light rain
184,2013-04-03,38.30833333,40,scattered clouds
185,2013-04-04,38.66875,20,few clouds
186,2013-04-05,40.07458333,1,sky is clear
187,2013-04-06,48.23875,90,overcast clouds
188,2013-04-07,43.64916667,20,few clouds
189,2013-04-08,45.85958333,40,scattered clouds
190,2013-04-09,56.90791667,75,broken clouds
191,2013-04-10,64.1984,75,broken clouds
192,2013-04-11,63.67827586,40,scattered clouds
193,2013-04-12,56.83787879,90,thunderstorm with rain
194,2013-13-04,43.20666667,90,overcast clouds
195,2013-14-04,44.89694444,90,mist
196,2013-15-04,51.49958333,75,broken clouds
197,2013-16-04,49.11541667,90,overcast clouds
198,2013-17-04,53.74541667,75,broken clouds
199,2013-18-04,62.03416667,75,broken clouds
200,2013-19-04,53.8216,40,scattered clouds
201,2013-20-04,59.51103448,90,overcast clouds
202,2013-21-04,55.44769231,90,haze
203,2013-22-04,45.96166667,75,broken clouds
204,2013-23-04,46.03708333,75,broken clouds
205,2013-24-04,44.33035714,40,scattered clouds
206,2013-25-04,52.50458333,90,overcast clouds
207,2013-26-04,56.12416667,75,broken clouds
208,2013-27-04,55.06,1,sky is clear
209,2013-28-04,56.24958333,40,scattered clouds
210,2013-29-04,56.92041667,20,few clouds
211,2013-30-04,54.4746875,90,overcast clouds
212,2013-05-01,56.512,90,overcast clouds
213,2013-05-02,54.30166667,40,scattered clouds
214,2013-05-03,55.75153846,20,few clouds
215,2013-05-04,57.11208333,1,sky is clear
216,2013-05-05,53.83125,20,few clouds
217,2013-05-06,51.06916667,20,few clouds
218,2013-05-07,53.57583333,1,sky is clear
219,2013-05-08,58.6875,1,sky is clear
220,2013-05-09,60.64294118,75,broken clouds
221,2013-05-10,58.08452381,40,scattered clouds
222,2013-05-11,63.82034483,20,few clouds
223,2013-05-12,64.53666667,90,overcast clouds
224,2013-13-05,62.56208333,75,broken clouds
225,2013-14-05,51.4175,20,few clouds
226,2013-15-05,50.2775,20,few clouds
227,2013-16-05,56.15458333,40,scattered clouds
228,2013-17-05,67.545,75,broken clouds
229,2013-18-05,65.97583333,1,sky is clear
230,2013-19-05,59.73625,93,overcast clouds
231,2013-20-05,56.84309524,98,overcast clouds
232,2013-21-05,63.05242424,90,light rain
233,2013-22-05,73.44481481,23,few clouds
234,2013-23-05,70.00518519,85,overcast clouds
235,2013-24-05,71.36342857,74,broken clouds
236,2013-25-05,59.07777778,90,thunderstorm with light rain
